60,57,68,52,62,53,76,53,73,34,59,57,66,59,63,60,63,63,65,50,52,48,59,69,60,56,74
57,57,45,74,60,23,45,54,55,85,59,55,53,52,63,64,45,44,68,84,70,59,36,57,69,59,48
56,60,53,53,53,40,22,66,61,64,51,61,49,57,54,64,43,43,74,88,47,27,54,69,63,56,56
51,59,45,48,61,56,18,57,38,66,50,56,48,55,45,53,48,50,69,68,33,37,56,64,44,52,48
47,46,51,36,50,48,16,43,51,52,37,59,35,47,46,44,52,42,37,43,61,23,44,64,58,49,39
56,57,48,63,69,32,75,49,58,63,58,61,43,52,60,61,47,54,66,46,41,35,58,60,73,58,47
56,59,55,53,63,64,36,56,51,48,71,45,55,50,61,55,56,62,52,62,35,52,59,44,52,58,44
52,40,51,75,43,44,67,38,53,79,48,60,44,48,58,57,46,49,43,77,45,20,64,50,69,54,47
51,48,58,43,53,42,35,46,65,47,31,58,71,50,55,52,52,46,17,54,60,60,64,70,51,51,54
63,66,62,61,74,34,51,60,75,68,63,63,62,59,69,62,65,54,51,75,65,74,70,79,62,66,48
